0.0000000000;0.0000000000
0.0311048778;0.0308636932
0.0622097555;0.0617001524
0.0933146333;0.0924821436
0.1244195110;0.1231824328
0.1555243888;0.1537737860
0.1866292665;0.1842289691
0.2177341443;0.2145207482
0.2488390221;0.2446218892
0.2799438998;0.2745051583
0.3110487776;0.3041433212
0.3421536553;0.3335091441
0.3732585331;0.3625753930
0.4043634109;0.3913148338
0.4354682886;0.4197002325
0.4665731664;0.4477043551
0.4976780441;0.4752999677
0.5287829219;0.5024598362
0.5598877996;0.5291567265
0.5909926774;0.5553634048
0.6220975552;0.5810526370
0.6532024329;0.6061971890
0.6843073107;0.6307698270
0.7154121884;0.6547433168
0.7465170662;0.6780904245
0.7776219440;0.7007839161
0.8087268217;0.7227965575
0.8398316995;0.7441011148
0.8709365772;0.7646703539
0.9020414550;0.7844770409
0.9331463327;0.8034939418
0.9642512105;0.8216938224
0.9953560883;0.8390494489
1.0264609660;0.8555335872
1.0575658438;0.8711191715
1.0886707215;0.8857892224
1.1197755993;0.8995423952
1.1508804771;0.9123786898
1.1819853548;0.9242981062
1.2130902326;0.9353006444
1.2441951103;0.9453863044
1.2752999881;0.9545550863
1.3064048658;0.9628069899
1.3375097436;0.9701420154
1.3686146214;0.9765601627
1.3997194991;0.9820614318
1.4308243769;0.9866458227
1.4619292546;0.9903133355
1.4930341324;0.9930639700
1.5241390102;0.9948977264
1.5552438879;0.9958146046
1.5863487657;0.9958146046
1.6174536434;0.9948977264
1.6485585212;0.9930639700
1.6796633989;0.9903133355
1.7107682767;0.9866458227
1.7418731545;0.9820614318
1.7729780322;0.9765601627
1.8040829100;0.9701420154
1.8351877877;0.9628069899
1.8662926655;0.9545550863
1.8973975433;0.9453863044
1.9285024210;0.9353006444
1.9596072988;0.9242981062
1.9907121765;0.9123786898
2.0218170543;0.8995423952
2.0529219320;0.8857892224
2.0840268098;0.8711191715
2.1151316876;0.8555335872
2.1462365653;0.8390494489
2.1773414431;0.8216938224
2.2084463208;0.8034939418
2.2395511986;0.7844770409
2.2706560764;0.7646703539
2.3017609541;0.7441011148
2.3328658319;0.7227965575
2.3639707096;0.7007839161
2.3950755874;0.6780904245
2.4261804651;0.6547433168
2.4572853429;0.6307698270
2.4883902207;0.6061971890
2.5194950984;0.5810526370
2.5505999762;0.5553634048
2.5817048539;0.5291567265
2.6128097317;0.5024598362
2.6439146095;0.4752999677
2.6750194872;0.4477043551
2.7061243650;0.4197002325
2.7372292427;0.3913148338
2.7683341205;0.3625753930
2.7994389982;0.3335091441
2.8305438760;0.3041433212
2.8616487538;0.2745051583
2.8927536315;0.2446218892
2.9238585093;0.2145207482
2.9549633870;0.1842289691
2.9860682648;0.1537737860
3.0171731426;0.1231824328
3.0482780203;0.0924821436
3.0793828981;0.0617001524
3.1104877758;0.0308636932
0.0000000000;0.0000000000
0.0314159265;0.0259807621
0.0628318531;0.0519615242
0.0942477796;0.0779422863
0.1256637061;0.1039230485
0.1570796327;0.1299038106
0.1884955592;0.1558845727
0.2199114858;0.1818653348
0.2513274123;0.2078460969
0.2827433388;0.2338268590
0.3141592654;0.2598076211
0.3455751919;0.2857883832
0.3769911184;0.3117691454
0.4084070450;0.3377499075
0.4398229715;0.3637306696
0.4712388980;0.3897114317
0.5026548246;0.4156921938
0.5340707511;0.4416729559
0.5654866776;0.4676537180
0.5969026042;0.4936344802
0.6283185307;0.5196152423
0.6597344573;0.5455960044
0.6911503838;0.5715767665
0.7225663103;0.5975575286
0.7539822369;0.6235382907
0.7853981634;0.6495190528
0.8168140899;0.6754998150
0.8482300165;0.7014805771
0.8796459430;0.7274613392
0.9110618695;0.7534421013
0.9424777961;0.7794228634
0.9738937226;0.8054036255
1.0053096491;0.8313843876
1.0367255757;0.8573651497
1.0681415022;0.8660254038
1.0995574288;0.8660254038
1.1309733553;0.8660254038
1.1623892818;0.8660254038
1.1938052084;0.8660254038
1.2252211349;0.8660254038
1.2566370614;0.8660254038
1.2880529880;0.8660254038
1.3194689145;0.8660254038
1.3508848410;0.8660254038
1.3823007676;0.8660254038
1.4137166941;0.8660254038
1.4451326207;0.8660254038
1.4765485472;0.8660254038
1.5079644737;0.8660254038
1.5393804003;0.8660254038
1.5707963268;0.8660254038
1.6022122533;0.8660254038
1.6336281799;0.8660254038
1.6650441064;0.8660254038
1.6964600329;0.8660254038
1.7278759595;0.8660254038
1.7592918860;0.8660254038
1.7907078125;0.8660254038
1.8221237391;0.8660254038
1.8535396656;0.8660254038
1.8849555922;0.8660254038
1.9163715187;0.8660254038
1.9477874452;0.8660254038
1.9792033718;0.8660254038
2.0106192983;0.8660254038
2.0420352248;0.8660254038
2.0734511514;0.8660254038
2.1048670779;0.8573651497
2.1362830044;0.8313843876
2.1676989310;0.8054036255
2.1991148575;0.7794228634
2.2305307840;0.7534421013
2.2619467106;0.7274613392
2.2933626371;0.7014805771
2.3247785637;0.6754998150
2.3561944902;0.6495190528
2.3876104167;0.6235382907
2.4190263433;0.5975575286
2.4504422698;0.5715767665
2.4818581963;0.5455960044
2.5132741229;0.5196152423
2.5446900494;0.4936344802
2.5761059759;0.4676537180
2.6075219025;0.4416729559
2.6389378290;0.4156921938
2.6703537556;0.3897114317
2.7017696821;0.3637306696
2.7331856086;0.3377499075
2.7646015352;0.3117691454
2.7960174617;0.2857883832
2.8274333882;0.2598076211
2.8588493148;0.2338268590
2.8902652413;0.2078460969
2.9216811678;0.1818653348
2.9530970944;0.1558845727
2.9845130209;0.1299038106
3.0159289474;0.1039230485
3.0473448740;0.0779422863
3.0787608005;0.0519615242
